Kecepatan Angin,Normalisasi
7.4,0.13309352517985612
9.3,0.20143884892086333
5.6,0.06834532374100716
5.6,0.06834532374100716
5.6,0.06834532374100716
5.6,0.06834532374100716
5.6,0.06834532374100716
3.7,0.0
5.6,0.06834532374100716
11.1,0.2661870503597122
5.6,0.06834532374100716
3.7,0.0
3.7,0.0
3.7,0.0
7.6,0.14028776978417262
7.4,0.13309352517985612
7.4,0.13309352517985612
3.7,0.0
5.6,0.06834532374100716
7.4,0.13309352517985612
3.7,0.0
3.7,0.0
9.3,0.20143884892086333
14.8,0.39928057553956836
18.5,0.5323741007194245
16.7,0.46762589928057546
7.4,0.13309352517985612
5.6,0.06834532374100716
11.1,0.2661870503597122
13.0,0.3345323741007194
24.1,0.7338129496402879
16.7,0.46762589928057546
7.4,0.13309352517985612
5.6,0.06834532374100716
3.7,0.0
20.4,0.6007194244604315
22.2,0.6654676258992804
13.0,0.3345323741007194
9.3,0.20143884892086333
7.4,0.13309352517985612
3.7,0.0
20.4,0.6007194244604315
20.4,0.6007194244604315
20.4,0.6007194244604315
11.2,0.26978417266187044
7.4,0.13309352517985612
7.4,0.13309352517985612
7.4,0.13309352517985612
18.4,0.528776978417266
18.4,0.528776978417266
16.7,0.46762589928057546
18.5,0.5323741007194245
7.4,0.13309352517985612
7.4,0.13309352517985612
5.6,0.06834532374100716
5.6,0.06834532374100716
22.2,0.6654676258992804
20.4,0.6007194244604315
27.8,0.8669064748201438
13.0,0.3345323741007194
7.4,0.13309352517985612
9.3,0.20143884892086333
9.3,0.20143884892086333
7.4,0.13309352517985612
24.1,0.7338129496402879
24.1,0.7338129496402879
31.5,1.0
13.0,0.3345323741007194
9.3,0.20143884892086333
5.6,0.06834532374100716
7.4,0.13309352517985612
7.4,0.13309352517985612
25.9,0.7985611510791366
27.8,0.8669064748201438
22.2,0.6654676258992804
5.6,0.06834532374100716
9.3,0.20143884892086333
7.4,0.13309352517985612
24.1,0.7338129496402879
25.9,0.7985611510791366
