waktu,future_predictions
11-01-2023 00:00,29.566238
11-01-2023 03:00,24.72177
11-01-2023 06:00,15.502162
11-01-2023 09:00,10.435336
11-01-2023 12:00,10.472373
11-01-2023 15:00,12.055706
11-01-2023 18:00,22.274012
11-01-2023 21:00,28.420729
